Number,Street,County,Zipcode,Longitude,Latitude
1064,Main St,Kennebec,04355,-69.9579254,44.3869396
168,Touisset Point Rd,Kennebec,04355,-69.9644505,44.3813794
161,Touisset Point Rd,Kennebec,04355,-69.96368,44.3818585
134,Touisset Point Rd,Kennebec,04355,-69.9613249,44.3825446
132,Touisset Point Rd,Kennebec,04355,-69.9608104,44.3825579
116,Touisset Point Rd,Kennebec,04355,-69.9601149,44.3834011
112,Touisset Point Rd,Kennebec,04355,-69.9600574,44.3837256
48,Lakeview Dr,Kennebec,04355,-69.9618522,44.377179
74,Maranacook Shore Rd,Kennebec,04355,-69.9588298,44.3765832
153,Maranacook Shore Rd,Kennebec,04355,-69.957745,44.3751068
149,Maranacook Shore Rd,Kennebec,04355,-69.957284,44.3745435
147,Maranacook Shore Rd,Kennebec,04355,-69.9573118,44.3743227
144,Maranacook Shore Rd,Kennebec,04355,-69.9578791,44.3740928
135,Maranacook Shore Rd,Kennebec,04355,-69.9570712,44.3738115
136,Maranacook Shore Rd,Kennebec,04355,-69.9578008,44.3735218
132,Maranacook Shore Rd,Kennebec,04355,-69.9574305,44.3735204
129,Maranacook Shore Rd,Kennebec,04355,-69.9568015,44.3734312
125,Maranacook Shore Rd,Kennebec,04355,-69.9566176,44.3733202
123,Maranacook Shore Rd,Kennebec,04355,-69.9561242,44.3730767
119,Maranacook Shore Rd,Kennebec,04355,-69.9562131,44.3727564
111,Maranacook Shore Rd,Kennebec,04355,-69.9568837,44.3723141
6,Chandler Dr,Kennebec,04355,-69.9572042,44.3719558
4,Chandler Dr,Kennebec,04355,-69.9570869,44.3720738
8,Chandler Dr,Kennebec,04355,-69.9573214,44.3718288
10,Chandler Dr,Kennebec,04355,-69.9574701,44.371715
12,Chandler Dr,Kennebec,04355,-69.9576563,44.3715874
14,Chandler Dr,Kennebec,04355,-69.9577093,44.3713754
16,Chandler Dr,Kennebec,04355,-69.9578943,44.3711713
24,Chandler Dr,Kennebec,04355,-69.9582743,44.3706144
17,Chandler Dr,Kennebec,04355,-69.9587809,44.3712809
19,Chandler Dr,Kennebec,04355,-69.958828,44.3710869
23,Chandler Dr,Kennebec,04355,-69.9589673,44.3707797
26,Chandler Dr,Kennebec,04355,-69.9584206,44.3703476
30,Chandler Dr,Kennebec,04355,-69.9585914,44.3700491
40,Chandler Dr,Kennebec,04355,-69.9587754,44.3694038
37,Chandler Dr,Kennebec,04355,-69.9594682,44.3695556
41,Chandler Dr,Kennebec,04355,-69.9595221,44.3693975
60,Chandler Dr,Kennebec,04355,-69.9594287,44.3679039
47,Chandler Dr,Kennebec,04355,-69.9595352,44.3690463
67,Poulin Dr,Kennebec,04355,-69.9642791,44.3567849
77,Poulin Dr,Kennebec,04355,-69.9639069,44.3562794
24,Oak Shores Dr,Kennebec,04355,-69.9645027,44.355122
110,Nobis Point Rd,Kennebec,04355,-69.9606347,44.3560729
87,Nobis Point Rd,Kennebec,04355,-69.9604944,44.354395
72,Nobis Point Rd,Kennebec,04355,-69.9619615,44.3539505
