Longitude,Latitude,Altitude
-69.948302,44.334668,64.18985
-69.94825,44.335076,64.423931
-69.948264,44.335346,64.914508
-69.948163,44.335647,64.288706
-69.947934,44.335765,64.938214
-69.947635,44.335782,70.555831
-69.947423,44.336144,65.209775
-69.947242,44.336469,64.142335
-69.946837,44.336935,64.036607
-69.946615,44.337242,66.918261
-69.946521,44.337487,64.770344
-69.946263,44.337664,67.194517
-69.945971,44.337777,66.915664
-69.94567,44.337824,64.599595
-69.945347,44.33793,66.152346
-69.945124,44.338063,67.283443
-69.944793,44.338317,66.250312
-69.944506,44.338493,64.21192
-69.944182,44.338525,64.295244
-69.943783,44.338546,64.064779
-69.943444,44.338456,64.217151
-69.943097,44.338297,66.298714
-69.942622,44.338157,64.673449
-69.942343,44.338039,65.869408
-69.941928,44.338125,68.053848
-69.941555,44.338338,65.286778
-69.941296,44.338544,64.036517
-69.940939,44.3386,64.036389
-69.940618,44.338578,64.036474
-69.940498,44.338462,64.036584
-69.940418,44.338309,64.265679
-69.940206,44.338344,64.470034
-69.940088,44.338613,64.036476
-69.939838,44.338736,64.169561
-69.93943,44.338819,64.036388
-69.93922,44.338787,64.036378
-69.939154,44.338684,64.036489
-69.939061,44.338556,64.036574
-69.93892,44.338757,64.36579
-69.939073,44.339027,66.963144
-69.939317,44.339326,64.490604
-69.939365,44.339674,64.767713
-69.93924,44.340058,65.239922
-69.939066,44.340311,64.585816
-69.939227,44.340489,64.036571
-69.939284,44.340786,64.10113
-69.938994,44.341113,64.036724
-69.938581,44.34129,66.473429
-69.938308,44.341519,67.606183
-69.938132,44.341804,72.665712
-69.938159,44.342098,68.291609
-69.937939,44.342409,65.862177
-69.937694,44.342582,66.423036
-69.937573,44.342821,69.034897
-69.93782,44.343065,65.678906
-69.938002,44.343415,69.996392
-69.93809,44.343719,68.651113
-69.937946,44.344039,65.15708
-69.937765,44.34429,66.612087
-69.937659,44.344857,66.643663
-69.937704,44.345299,64.036628
-69.937626,44.345532,64.036656
-69.937233,44.345765,64.463068
-69.936919,44.34607,65.208029
-69.936717,44.34636,64.879561
-69.936464,44.346665,65.395254
-69.936291,44.347023,66.517291
-69.936228,44.347456,65.689235
-69.936064,44.347746,64.915057
-69.935941,44.348132,64.5315
-69.93572,44.348405,69.835295
-69.935576,44.348812,68.016181
-69.935481,44.349187,67.382228
-69.935353,44.349639,68.849223
-69.935329,44.349963,64.703469
-69.935157,44.35049,64.036814
-69.934994,44.350827,64.036586
-69.93482,44.351096,64.036577
-69.934881,44.35137,64.423049
-69.935305,44.351677,64.074038
-69.935862,44.351752,64.036802
-69.936321,44.351693,64.036849
-69.936754,44.351556,64.036557
-69.936976,44.35133,64.208826
-69.937272,44.351186,64.313587
-69.937598,44.35104,66.094024
-69.937961,44.350857,66.862969
-69.938163,44.350626,64.322135
-69.938412,44.35038,64.803787
-69.93859,44.350196,68.008922
-69.938795,44.34996,67.341733
-69.938802,44.349641,64.036508
-69.938935,44.349396,64.72117
-69.939203,44.349341,69.734501
-69.939399,44.349524,64.813278
-69.939475,44.349801,64.036457
-69.939392,44.350077,64.036428
-69.93916,44.350255,65.16694
-69.939089,44.35052,65.349225
-69.939111,44.350977,64.036526
-69.939377,44.351335,64.226447
-69.940019,44.351547,64.697842
-69.940569,44.351444,64.766616
-69.940968,44.35123,64.036296
-69.941571,44.35104,64.036438
-69.942263,44.350678,69.218233
-69.942522,44.35042,65.829303
-69.942916,44.350199,64.503623
-69.943091,44.350012,64.1629
-69.942983,44.349769,64.03653
-69.942755,44.349557,64.273847
-69.942654,44.349352,64.104757
-69.942732,44.349199,64.223237
-69.943106,44.348955,65.622424
-69.943471,44.348825,67.274716
-69.943802,44.34865,64.625005
-69.943989,44.348386,64.036384
-69.944242,44.348221,64.235625
-69.944544,44.348103,65.175041
-69.945123,44.348056,70.483181
-69.945466,44.347972,64.036568
-69.945974,44.347734,64.036977
-69.946335,44.347494,64.03669
-69.946572,44.347247,64.036497
-69.946834,44.347062,64.438528
-69.946913,44.347345,64.344119
-69.946885,44.347505,64.970841
-69.94704,44.34773,64.794
-69.947315,44.347854,64.83245
-69.947656,44.34786,64.059055
-69.94794,44.347795,64.036686
-69.948105,44.347695,64.036792
-69.948227,44.347456,64.036659
-69.948327,44.347305,64.036585
-69.948404,44.347185,64.036564
-69.948663,44.347291,64.036659
-69.948773,44.347464,64.156702
-69.948746,44.347614,64.03682
-69.948776,44.347691,64.134986
-69.948913,44.347753,65.763037
-69.949057,44.347593,64.814199
-69.949259,44.347438,65.883106
-69.949462,44.347321,66.008676
-69.949616,44.34722,66.092989
-69.949947,44.346988,66.07904
-69.950327,44.346843,67.417159
-69.950633,44.346635,65.788615
-69.950877,44.346428,66.616299
-69.951033,44.346281,67.516957
-69.951285,44.346055,66.538278
-69.951569,44.345885,69.343567
-69.951872,44.345686,66.688669
-69.95217,44.345547,66.150473
-69.952586,44.345339,64.415741
-69.952833,44.345304,65.386813
-69.952948,44.34513,65.350977
-69.952953,44.344938,64.073805
-69.952951,44.344737,64.036717
-69.953013,44.344582,66.276605
-69.95314,44.344332,64.03647
-69.95338,44.344231,64.603763
-69.953619,44.344212,66.27465
-69.953828,44.344049,64.270567
-69.954023,44.343912,65.248147
-69.954144,44.343693,65.52261
-69.954183,44.34348,64.431781
-69.954261,44.343243,64.12995
-69.954292,44.343034,64.036565
-69.954377,44.342873,64.744601
-69.954427,44.342757,65.167802
-69.954624,44.342564,65.412624
-69.954768,44.34252,65.926661
-69.954805,44.342372,64.218803
-69.954834,44.34219,64.03674
-69.954912,44.342027,64.567441
-69.955101,44.341931,67.867652
-69.955372,44.341864,67.378161
-69.955667,44.341858,67.134006
-69.955932,44.341849,67.56206
-69.95616,44.34195,65.908842
-69.956132,44.342127,65.972748
-69.955999,44.342298,70.635352
-69.955933,44.342557,68.454675
-69.955822,44.342871,68.774844
-69.95575,44.343079,70.815809
-69.955745,44.343275,67.303032
-69.955586,44.34346,68.686268
-69.955392,44.343791,65.763275
-69.955306,44.343962,66.599471
